KOs	colours
K01624	yellow,black
K01803	red,black
K00134	red,black
K00134	yellow,black
K00134	yellow,black
K00134	yellow,black
K15633	yellow,black
K01689	yellow,black
K01610	red,black
K00163	yellow,black
K00627	yellow,black
K00382	red,black
K01647	red,black
K01682	yellow,black
K00164	yellow,black
K00658	red,black
K01902	yellow,black
K01903	red,black
K00239	yellow,black
K00240	yellow,black
K00241	yellow,black
K00242	yellow,black
K01676	yellow,black
K01679	yellow,black
K01783	yellow,black
K01807	yellow,black
K00616	red,black
K00948	red,black
K00012	yellow,black
K01785	yellow,black
K00849	yellow,black
K00965	yellow,black
K01684	yellow,black
K01200	yellow,black
K01835	yellow,black
K00820	yellow,black
K03431	yellow,black
K04042	yellow,black
K01637	red,black
K01638	yellow,black
K00626	yellow,black
K00626	yellow,black
K00626	yellow,black
K00023	red,black
K03781	yellow,black
K15918	yellow,black
K00281	red,black
K00605	yellow,black
K02437	yellow,black
K00140	red,black
K01092	yellow,black
K00855	yellow,black
K00029	yellow,black
K01007	red,black
K01961	yellow,black
K01961	yellow,black
K01962	yellow,black
K01963	yellow,black
K02160	yellow,black
K02160	yellow,black
K01491	yellow,black
K13788	yellow,black
K00925	yellow,black
K00018	yellow,black
K00957	yellow,black
K00860	yellow,black
K00860	yellow,black
K00390	yellow,black
K00380	yellow,black
K00381	yellow,black
K00411	red,black
K00412	yellow,black
K00413	yellow,black
K02257	yellow,black
K02258	yellow,black
K02259	yellow,black
K02275	yellow,black
K02274	yellow,black
K02276	yellow,black
K00425	yellow,black
K00404	yellow,black
K00405	yellow,black
K00407	yellow,black
K00406	yellow,black
K02111	red,black
K02112	red,black
K02113	yellow,black
K02114	yellow,black
K02115	yellow,black
K02108	yellow,black
K02109	yellow,black
K02110	yellow,black
K00645	yellow,black
K00648	yellow,black
K18473	yellow,black
K09458	yellow,black
K00059	red,black
K00059	yellow,black
K02372	yellow,black
K01716	yellow,black
K00209	yellow,black
K01897	yellow,black
K00249	red,black
K06445	yellow,black
K06445	yellow,black
K01692	yellow,black
K01825	yellow,black
K01782	yellow,black
K00632	yellow,black
K01640	yellow,black
K00655	yellow,black
K00981	yellow,black
K01613	yellow,black
K00764	yellow,black
K01945	yellow,black
K11175	yellow,black
K01933	yellow,black
K01589	yellow,black
K01588	yellow,black
K01923	yellow,black
K00602	yellow,black
K01939	yellow,black
K00939	red,black
K00088	yellow,black
K00942	yellow,black
K01955	red,black
K01956	yellow,black
K01465	yellow,black
K00254	yellow,black
K00762	yellow,black
K01591	yellow,black
K09903	yellow,black
K01937	yellow,black
K01937	yellow,black
K00525	yellow,black
K00526	yellow,black
K00943	yellow,black
K00058	yellow,black
K00831	yellow,black
K01079	yellow,black
K00133	yellow,black
K00133	yellow,black
K00108	yellow,black
K00130	yellow,black
K00640	yellow,black
K00651	yellow,black
K00651	yellow,black
K01739	yellow,black
K01760	yellow,black
K00548	yellow,black
K00548	yellow,black
K00548	yellow,black
K00548	yellow,black
K00549	yellow,black
K00549	yellow,black
K00549	yellow,black
