Treatment	Bottle	Time	Abundance	DOC	TDN	NH4	NO2	NO3	PO43	DCAA	DFAA	Nitrogen
Control	C1	2	2.7E+05	152.3333333	12.5	NA	NA	NA	NA	0.501469436	0.016138764	NA
Control	C1	4	2.3E+05	104.4166667	11	0.052	0.109	6.332	0.027	0	0.030357447	6.441
Control	C1	9	4.0E+05	142.1666667	11.6	0.044	0.111	6.134	0.037	0.19865896	0.0279865	6.245
Control	C1	17	5.5E+05	153.1666667	12.6	0.108	0.07	4.08	0.022	1.15005406	0.0919095	4.15
Control	C1	21	5.13E+05	153.75	13.1	0.183	0.122	6.265	0.04	0.163712439	0.055533	6.387
Control	C1	58	3.98E+05	144.9166667	13.5	NA	0.058	5.26	0.227	0.055683348	0.041663	5.318
Control	C1	82	7.29E+05	78.46666667	9.8	0.069	0.106	6.197	0.021	1.28188936	0.062704	6.303
Control	C1	154	5.47E+05	84.58	10.2	0.234	0.1	6.076	0.021	0.49584508	0.000698	6.176
Control	C2	2	3.2E+05	153.3333333	12.1	0.116	0.109	6.107	0.029	0.505489032	0.033847248	6.216
Control	C2	4	4.0E+05	112.75	10.7	0.054	0.102	6.393	0.03	0.549937017	0.054665324	6.495
Control	C2	9	2.5E+05	167.5833333	12.2	NA	0.1	6.061	0.03	1.19627602	0.0270395	6.161
Control	C2	17	5.7E+05	175.0833333	14.6	0.274	0.096	6.046	0.017	0.13820148	0.0517395	6.142
Control	C2	21	8.12E+05	149	15.5	0.07	0.095	6.255	0.031	0.28312496	0.08901	6.35
Control	C2	58	7.79E+05	174.5	11.7	0.063	0.097	6.086	0.026	1.11515428	0.041324	6.183
Control	C2	82	9.90E+05	84.08333333	9.3	0.029	0.123	6.104	0.015	0.00572904	0.04894	6.227
Control	C2	154	6.15E+05	78.425	10.5	0.061	0.026	7.345	0.047	0.44962376	0.015818	7.371
Control	C3	2	2.2E+05	172.6666667	12.5	NA	0.03	6.048	0.065	1.167826677	0.021482863	6.078
Control	C3	4	2.8E+05	NA	13.6	0.064	0.037	6.232	0.062	1.47496875	0.06440513	6.269
Control	C3	9	2.5E+05	81.55833333	10.1	0.061	0.015	5.856	0.058	0.06303256	0.0249615	5.871
Control	C3	17	4.5E+05	83.19166667	10.1	0.244	0.023	6.089	0.064	0.345203745	0.04838	6.112
Control	C3	21	3.98E+05	NA	15.6	0.045	0.034	6.201	0.065	0	0.061552	6.235
Control	C3	58	7.86E+05	84.08333333	10.2	0.102	0.031	6.508	0.053	0.7471754	0.048443	6.539
Control	C3	82	7.95E+05	83.3	9.8	0.038	0.017	6.168	0.05	0.817113	0.072923	6.185
Control	C3	154	5.19E+05	81.38333333	10.8	0.136	0.091	6.139	0.013	1.24364432	2.35216	6.23
Cteno-OM	J1	2	8.1E+05	145.0833333	16.4	0.4	0.038	6.106	0.304	0.71701496	1.256680505	6.144
Cteno-OM	J1	4	4.6E+05	144.8333333	17.6	0.389	0.104	6.415	0.295	1.13813112	0.947383	6.519
Cteno-OM	J1	9	9.4E+05	179.0833333	20	0.157	0.041	6.203	0.324	1.38705564	0.925618	6.244
Cteno-OM	J1	17	2.7E+06	105.9166667	16.2	0.462	0.06	6.134	0.376	0.155756696	1.481260793	6.194
Cteno-OM	J1	21	8.43E+06	133.5	17.5	1.332	0.024	4.195	0.291	0.050515212	1.738989	4.219
Cteno-OM	J1	58	7.11E+06	99.25	25.7	7.627	0.048	4.933	0.23	3.7239426	0.493889	4.981
Cteno-OM	J1	82	7.80E+06	98.5	26.3	10.709	0.053	5.827	0.253	0	0.159668	5.88
Cteno-OM	J1	154	2.09E+06	98.75	35.2	16.336	0.024	5.836	0.39	2.34702624	0.181762	5.86
Cteno-OM	J2	2	7.0E+05	150.6666667	19.5	0.376	0.047	8.724	0.245	0.49987112	1.332764312	8.771
Cteno-OM	J2	4	4.0E+05	174.9166667	20.9	0.245	0.044	8.545	0.237	1.6558362	0.9444585	8.589
Cteno-OM	J2	9	6.9E+05	189.9166667	26	0.193	0.056	9.145	0.256	0	0.991956	9.201
Cteno-OM	J2	17	4.1E+06	204.3333333	22.5	0.553	0.067	8.723	0.311	0.313207918	1.356178545	8.79
Cteno-OM	J2	21	7.19E+06	130.1666667	21.4	1.837	0.053	8.642	0.28	0.024990042	0.57732	8.695
