Treatment	Bottle	Time	Abundance (cells mL-1)	P_Bac	R_Bac	P_Psu	R_Psu	P_Alt	R_Alt	P_Vib	R_Vib
Inoculum	Inoculum	0	1,46E+06	229995,7824	568570,8604	3034,2452	13957,5277	10316,4335	16384,9238	8495,8864	10923,2825
C	C1	2	2,69E+05								
C	C2	2	3,16E+05								
C	C3	2	2,23E+05								
J	J1	2	8,08E+05								
J	J2	2	7,00E+05								
J	J3	2	2,41E+05								
C	C1	4	2,26E+05								
C	C2	4	4,03E+05								
C	C3	4	2,82E+05								
J	J1	4	4,56E+05								
J	J2	4	3,99E+05								
J	J3	4	2,05E+05								
C	C1	9	4,03E+05								
C	C2	9	2,54E+05								
C	C3	9	2,54E+05								
J	J1	9	9,37E+05								
J	J2	9	6,86E+05								
J	J3	9	1,03E+06								
C	C1	17	5,51E+05								
C	C2	17	5,66E+05								
C	C3	17	4,49E+05								
J	J1	17	2,70E+06								
J	J2	17	4,05E+06								
J	J3	17	1,68E+06								
C	C1	21	5,13E+05	200260,1799	869007,811	0	5749,0961	1213,6981	9709,5845	1213,6981	1213,6981
C	C2	21	8,12E+05	1644560,871	325877,9291	9709,5845	2427,3961	4247,9432	2427,3961	2427,3961	1820,5471
C	C3	21	3,98E+05	303424,515	1150701,351		6068,4903		78890,374		2587,613
J	J1	21	8,43E+06	7011980,845	1475249,992	5265629,033	355006,6826	343476,551	26094,5083	1087473,462	49053,6299
J	J2	21	7,19E+06	818957,2148	2186477,055	168097,1813	790724,2861	63719,1482	72821,8836		147666,5973
J	J3	21	6,01E+06	4792286,79	1565063,648	2652537,11	425401,17	759774,9856	106805,4293	1490505,534	8597,0279
C	C1	58	3,98E+05								
C	C2	58	7,79E+05								
C	C3	58	7,86E+05								
J	J1	58	7,11E+06								
J	J2	58	7,35E+06								
J	J3	58	9,08E+06								
C	C1	82	7,29E+05								
C	C2	82	9,90E+05								
C	C3	82	7,95E+05								
J	J1	82	7,80E+06								
J	J2	82	7,43E+06								
J	J3	82	4,85E+06								
C	C1	154	5,47E+05	364109,418	246380,7062	17598,6219	3034,2452	6675,3393	606,849	14564,3767	1820,5471
C	C2	154	6,15E+05	271261,5164		1213,6981		1733,8544		24880,8102	
C	C3	154	5,19E+05	152319,1065		0		1820,5471		12743,8296	
J	J1	154	2,09E+06	828348,926	643259,9718	194191,6896	73977,7865	90707,9603	10316,4335	30661,8457	2427,3961
J	J2	154	2,04E+06	1310793,905	979454,334	99327,907	102719,714	108625,9764	13292,8835	58043,519	11463,539
J	J3	154		554053,1644	885999,5838	94061,5997	86114,7671	217188,0739	23060,2631	15830,8443	5749,0961
