sample_ID;grid;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40
Inoculum Ml;2500;17;18;14;18;11;24;15;26;18;19;25;19;28;27;20;23;22;25;29;16;;;;;;;;;;;;;;;;;;;;
T0 J1;2500;13;6;5;4;8;8;10;7;7;8;16;7;5;11;7;7;8;8;7;8;;;;;;;;;;;;;;;;;;;;
T0 J2;2500;17;18;10;12;9;8;9;9;15;7;10;9;9;8;8;8;10;4;10;8;;;;;;;;;;;;;;;;;;;;
T0 J3;10000;11;17;14;15;11;20;20;10;16;12;24;11;10;17;11;8;14;5;16;11;;;;;;;;;;;;;;;;;;;;
T1 J1;2500;7;6;6;5;12;9;5;2;2;10;7;6;8;8;6;6;10;5;5;4;;;;;;;;;;;;;;;;;;;;
T1 J2;2500;8;8;6;8;4;5;4;5;7;6;7;7;2;5;3;5;7;3;7;6;;;;;;;;;;;;;;;;;;;;
T1 J3;10000;11;7;6;12;10;16;14;12;16;12;13;10;19;6;14;7;11;11;8;17;;;;;;;;;;;;;;;;;;;;
T2 J1;2500;11;16;10;13;11;10;13;14;10;15;20;16;13;11;15;16;13;11;15;12;;;;;;;;;;;;;;;;;;;;
T2 J2;2500;6;7;11;8;11;10;12;13;8;8;10;8;10;9;6;12;10;14;10;11;;;;;;;;;;;;;;;;;;;;
T2 J3;10000;42;51;33;28;74;69;80;42;130;31;35;68;46;32;150;46;90;48;55;15;;;;;;;;;;;;;;;;;;;;
T3 J1;2500;18;24;15;15;14;18;28;46;29;26;36;27;19;31;21;21;13;9;20;35;43;17;18;23;65;26;50;40;25;24;162;90;24;21;100;150;53;41;48;41
T3 J2;2500;23;25;29;27;32;30;25;26;27;35;31;40;23;29;28;38;26;32;17;27;35;80;195;250;53;46;33;37;55;34;58;75;120;65;75;80;51;44;255;83
T3 J3;2500;17;21;8;21;26;25;27;33;22;33;28;25;28;20;24;23;12;21;35;26;;;;;;;;;;;;;;;;;;;;
T4 J1;900;30;30;50;30;38;26;27;29;19;37;20;30;44;21;43;25;24;41;19;50;37;26;75;135;27;27;38;29;55;34;76;51;153;24;23;38;41;85;56;55
T4 J2;900;38;13;17;30;14;18;14;18;23;24;28;11;13;17;14;35;15;21;21;61;12;22;28;45;11;45;105;17;18;37;15;42;52;16;38;43;250;150;29;44
T4 J3;900;34;14;13;26;17;22;13;18;31;32;28;49;15;15;31;26;16;17;70;38;17;15;35;150;18;27;15;23;29;65;;;;;;;;;;
T5 J1;900;34;31;18;31;30;22;31;26;25;28;41;38;44;41;43;30;54;27;24;25;65;50;50;30;37;53;31;46;42;35;37;40;60;32;43;33;32;35;28;27
T5 J2;900;28;45;36;36;46;27;34;16;29;50;18;54;40;34;53;45;32;27;57;42;;;;;;;;;;;;;;;;;;;;
T5 J3;900;25;17;21;18;23;16;250;90;27;90;21;27;20;19;15;22;28;21;150;25;;;;;;;;;;;;;;;;;;;;
T6 J1;900;36;36;32;30;38;38;44;36;34;52;62;66;31;46;35;48;40;35;24;32;;;;;;;;;;;;;;;;;;;;
T6 J2;900;27;50;27;35;26;26;28;44;31;61;43;36;37;51;46;50;31;43;29;36;;;;;;;;;;;;;;;;;;;;
T6 J3;900;26;15;13;19;15;45;36;31;24;17;23;15;17;13;23;18;35;17;26;66;;;;;;;;;;;;;;;;;;;;
