sample_name;sample_nr;FOV;DAPI;DAPI_FITC_FISH;DAPI_FITC;DAPI_FISH
C1T4ALTHPG;1421;10;31;0;24;0
C1T4ALTHPG;1421;11;29;0;21;0
C1T4ALTHPG;1421;12;32;0;25;0
C1T4ALTHPG;1421;13;19;0;16;0
C1T4ALTHPG;1421;14;28;0;20;0
C1T4ALTHPG;1421;15;31;0;23;0
C1T4ALTHPG;1421;16;20;0;17;0
C1T4ALTHPG;1421;17;33;0;27;0
C1T4ALTHPG;1421;18;33;0;24;0
C1T4ALTHPG;1421;19;35;0;25;0
C1T4ALTHPG;1421;1;40;0;35;0
C1T4ALTHPG;1421;20;32;1;28;1
C1T4ALTHPG;1421;2;41;0;34;0
C1T4ALTHPG;1421;3;31;0;28;0
C1T4ALTHPG;1421;4;29;0;27;0
C1T4ALTHPG;1421;5;25;1;17;1
C1T4ALTHPG;1421;6;21;0;19;0
C1T4ALTHPG;1421;7;26;0;21;0
C1T4ALTHPG;1421;8;31;0;22;0
C1T4ALTHPG;1421;9;35;0;23;0
C1T7ALTHPG;1721;10;180;0;57;0
C1T7ALTHPG;1721;11;155;0;63;0
C1T7ALTHPG;1721;12;169;0;64;2
C1T7ALTHPG;1721;13;149;0;49;0
C1T7ALTHPG;1721;14;187;0;57;0
C1T7ALTHPG;1721;15;164;0;72;0
C1T7ALTHPG;1721;16;183;1;49;1
C1T7ALTHPG;1721;17;147;0;54;1
C1T7ALTHPG;1721;18;189;0;74;3
C1T7ALTHPG;1721;19;171;2;90;2
C1T7ALTHPG;1721;1;66;1;20;1
C1T7ALTHPG;1721;20;175;0;62;0
C1T7ALTHPG;1721;2;106;2;31;2
C1T7ALTHPG;1721;3;103;0;17;0
C1T7ALTHPG;1721;4;86;2;32;2
C1T7ALTHPG;1721;5;135;0;45;0
C1T7ALTHPG;1721;6;85;1;23;1
C1T7ALTHPG;1721;7;126;1;43;1
C1T7ALTHPG;1721;8;168;0;55;0
C1T7ALTHPG;1721;9;171;1;64;4
C2T4ALTHPG;2421;10;287;0;195;0
C2T4ALTHPG;2421;11;315;0;231;0
C2T4ALTHPG;2421;12;329;0;233;1
C2T4ALTHPG;2421;13;278;0;207;0
C2T4ALTHPG;2421;14;223;1;159;1
C2T4ALTHPG;2421;15;255;1;184;1
C2T4ALTHPG;2421;16;214;0;137;0
C2T4ALTHPG;2421;17;205;0;129;0
C2T4ALTHPG;2421;18;201;0;157;0
C2T4ALTHPG;2421;19;197;2;142;2
C2T4ALTHPG;2421;1;218;1;131;1
C2T4ALTHPG;2421;20;209;0;140;0
C2T4ALTHPG;2421;2;204;0;138;0
C2T4ALTHPG;2421;3;344;0;240;0
C2T4ALTHPG;2421;4;224;1;134;1
C2T4ALTHPG;2421;5;239;0;145;0
C2T4ALTHPG;2421;6;271;0;172;0
C2T4ALTHPG;2421;7;246;0;165;0
C2T4ALTHPG;2421;8;284;0;178;0
C2T4ALTHPG;2421;9;233;1;140;2
C2T7ALTHPG;2721;10;109;0;58;0
C2T7ALTHPG;2721;11;104;0;42;0
C2T7ALTHPG;2721;12;110;0;32;0
C2T7ALTHPG;2721;13;106;0;73;0
C2T7ALTHPG;2721;14;118;2;85;2
C2T7ALTHPG;2721;15;155;0;104;0
C2T7ALTHPG;2721;16;147;0;109;1
C2T7ALTHPG;2721;17;202;0;142;0
C2T7ALTHPG;2721;18;180;0;121;1
C2T7ALTHPG;2721;19;185;1;116;1
C2T7ALTHPG;2721;1;89;0;45;1
C2T7ALTHPG;2721;20;140;0;99;0
C2T7ALTHPG;2721;21;140;0;99;0
C2T7ALTHPG;2721;2;110;0;55;0
C2T7ALTHPG;2721;3;149;0;65;0
C2T7ALTHPG;2721;4;133;0;60;0
C2T7ALTHPG;2721;5;100;0;24;0
C2T7ALTHPG;2721;6;101;0;37;1
C2T7ALTHPG;2721;7;107;0;45;1
C2T7ALTHPG;2721;8;132;0;46;0
C2T7ALTHPG;2721;9;99;0;20;0
C3T7ALTHPG;3721;10;73;0;51;0
C3T7ALTHPG;3721;11;70;0;47;0
C3T7ALTHPG;3721;12;73;1;47;1
C3T7ALTHPG;3721;13;62;0;32;0
C3T7ALTHPG;3721;14;75;0;45;0
C3T7ALTHPG;3721;15;63;0;43;0
C3T7ALTHPG;3721;16;69;0;40;0
C3T7ALTHPG;3721;17;85;0;52;0
C3T7ALTHPG;3721;18;103;1;70;1
C3T7ALTHPG;3721;19;85;0;50;0
C3T7ALTHPG;3721;1;86;0;45;0
C3T7ALTHPG;3721;20;98;1;64;1
C3T7ALTHPG;3721;2;93;0;58;0
C3T7ALTHPG;3721;3;89;0;52;0
C3T7ALTHPG;3721;4;69;0;37;0
C3T7ALTHPG;3721;5;56;0;28;0
C3T7ALTHPG;3721;6;91;0;51;0
C3T7ALTHPG;3721;7;80;0;48;0
C3T7ALTHPG;3721;8;70;0;31;0
C3T7ALTHPG;3721;9;85;0;43;0
J1T4ALTHPG;4421;10;1095;33;610;37
J1T4ALTHPG;4421;11;758;22;402;26
J1T4ALTHPG;4421;12;1014;31;622;35
J1T4ALTHPG;4421;13;538;22;343;23
J1T4ALTHPG;4421;14;653;37;408;38
J1T4ALTHPG;4421;15;1035;38;645;44
J1T4ALTHPG;4421;16;802;23;474;27
J1T4ALTHPG;4421;17;958;57;604;64
J1T4ALTHPG;4421;18;1223;36;653;42
J1T4ALTHPG;4421;19;1235;36;715;44
J1T4ALTHPG;4421;1;153;4;49;5
J1T4ALTHPG;4421;20;1183;48;691;54
J1T4ALTHPG;4421;2;202;5;76;6
J1T4ALTHPG;4421;3;913;26;382;32
J1T4ALTHPG;4421;4;447;7;208;12
J1T4ALTHPG;4421;5;1162;42;636;48
J1T4ALTHPG;4421;6;584;14;331;16
J1T4ALTHPG;4421;7;834;36;528;42
J1T4ALTHPG;4421;8;894;21;475;24
J1T4ALTHPG;4421;9;575;28;317;33
J1T7ALTHPG;4721;10;271;19;148;25
J1T7ALTHPG;4721;11;103;8;69;10
J1T7ALTHPG;4721;12;173;7;62;11
J1T7ALTHPG;4721;13;217;8;118;9
J1T7ALTHPG;4721;14;186;4;67;10
J1T7ALTHPG;4721;15;240;8;104;14
J1T7ALTHPG;4721;16;171;2;58;4
J1T7ALTHPG;4721;17;213;13;79;19
J1T7ALTHPG;4721;18;252;23;112;25
J1T7ALTHPG;4721;19;148;3;64;6
J1T7ALTHPG;4721;1;170;0;95;0
J1T7ALTHPG;4721;20;112;12;48;13
J1T7ALTHPG;4721;2;184;11;69;13
J1T7ALTHPG;4721;3;158;5;69;9
J1T7ALTHPG;4721;4;173;0;44;0
J1T7ALTHPG;4721;5;134;4;51;5
J1T7ALTHPG;4721;6;246;8;101;9
J1T7ALTHPG;4721;7;268;4;123;6
J1T7ALTHPG;4721;8;202;3;82;5
J2T4ALTHPG;5421;10;197;7;103;9
J2T4ALTHPG;5421;11;237;10;123;15
J2T4ALTHPG;5421;12;242;8;137;9
J2T4ALTHPG;5421;13;248;3;133;3
J2T4ALTHPG;5421;14;306;10;178;14
J2T4ALTHPG;5421;15;196;4;107;7
J2T4ALTHPG;5421;16;193;3;110;4
